intervention_idx,dose_original,factor,dose_new,rmse_factual,rmse_cf,true_effect_mean,pred_effect_mean,effect_error
43,7.2,0.8,5.760000000000001,36.372231007494904,54.89554852026394,21.555555555555557,3.1223329483633995,18.433222607192157
43,7.2,1.2,8.64,36.372231007494904,22.657258352565442,-20.805555555555557,-2.13010909207153,18.67544646348403
43,7.2,1.5,10.8,36.372231007494904,28.021138992059104,-48.083333333333336,-4.100929790496603,43.982403542836735
44,3.7,0.5,1.85,16.539592566045876,39.714906117326,24.38888888888889,0.6869782359180563,23.701910652970835
44,3.7,0.8,2.9600000000000004,16.539592566045876,23.738198277459606,9.083333333333334,0.8588682215359218,8.224465111797413
44,3.7,1.2,4.44,16.539592566045876,12.391027075565459,-10.38888888888889,-2.906908671310534,7.481980217578355
44,3.7,1.5,5.550000000000001,16.539592566045876,11.215922030418989,-24.86111111111111,-15.959260254829859,8.901850856281252
45,3.7,0.5,1.85,3.5235658430989636,32.16292811688063,27.5,0.32535749528157254,27.174642504718427
45,3.7,0.8,2.9600000000000004,3.5235658430989636,13.387855485858562,10.722222222222221,0.7453345484582405,9.976887673763981
45,3.7,1.2,4.44,3.5235658430989636,7.773271750674028,-11.75,-3.2815675730087497,8.46843242699125
45,3.7,1.5,5.550000000000001,3.5235658430989636,21.162884162010542,-27.88888888888889,-8.64316831773449,19.2457205711544
46,5.5,0.5,2.75,5.58508001439079,29.574367498353496,40.80555555555556,15.07469714215285,25.730858413402707
46,5.5,0.8,4.4,5.58508001439079,8.784670595255005,16.72222222222222,10.729702313403795,5.992519908818426
46,5.5,1.2,6.6,5.58508001439079,12.451551081165256,-15.694444444444445,-10.904456510595804,4.789987933848641
46,5.5,1.5,8.25,5.58508001439079,27.886496960995203,-39.97222222222222,-18.99728221998431,20.97494000223791
47,5.2,0.5,2.6,8.76941625858188,30.626317602460244,38.25,8.879323611853513,29.370676388146485
47,5.2,0.8,4.16,8.76941625858188,9.7616731021267,14.36111111111111,6.916179317089528,7.444931794021583
47,5.2,1.2,6.24,8.76941625858188,10.459424707194136,-16.194444444444443,-14.608970691902638,1.5854737525418052
47,5.2,1.5,7.800000000000001,8.76941625858188,23.85902118808252,-39.02777777777778,-24.46718088919424,14.56059688858354
48,5.2,0.5,2.6,15.786166855654544,56.682440507713444,38.02777777777778,-1.507579864080106,39.535357641857885
48,5.2,0.8,4.16,15.786166855654544,29.039900011723148,14.88888888888889,0.7056204231772136,14.183268465711675
48,5.2,1.2,6.24,15.786166855654544,13.3014288134656,-15.916666666666666,-2.839388152283654,13.077278514383012
48,5.2,1.5,7.800000000000001,15.786166855654544,27.375439004704248,-38.833333333333336,-8.40428698987794,30.429046343455397
49,4.6,0.5,2.3,8.220382576267337,27.500620837982652,33.833333333333336,7.037843662994085,26.79548967033925
49,4.6,0.8,3.6799999999999997,8.220382576267337,7.715251203189676,13.333333333333334,6.0216539846283155,7.3116793487050185
49,4.6,1.2,5.52,8.220382576267337,13.403978995761086,-13.833333333333334,-7.768939865598507,6.064393467734827
49,4.6,1.5,6.8999999999999995,8.220382576267337,26.16061214899081,-34.361111111111114,-19.75081151619803,14.610299594913084
50,5.1,0.5,2.55,6.027614214507676,41.17076733776586,36.5,2.478028663450207,34.0219713365498
50,5.1,0.8,4.08,6.027614214507676,16.79363509130989,14.166666666666666,2.312862016845687,11.85380464982098
50,5.1,1.2,6.119999999999999,6.027614214507676,8.417758675889042,-15.36111111111111,-7.0448798113641695,8.316231299746942
